date,market-cap,trade-volume,hash-rate,cost-per-transaction,transaction-fees,n-unique-addresses,n-transactions,n-transactions-excluding-popular,estimated-transaction-volume
1235865600,0.0,0.0,5.269288580740741e-06,0.0,0.0,107.0,107.0,107.0,350.0
1235952000,0.0,0.0,5.1698680414814805e-06,0.0,0.0,104.0,104.0,104.0,0.0
1236038400,0.0,0.0,5.269288580740741e-06,0.0,0.0,107.0,108.0,108.0,400.0
1236124800,0.0,0.0,5.269288580740741e-06,0.0,0.0,106.0,106.0,106.0,0.0
1236211200,0.0,0.0,5.269288580740741e-06,0.0,0.0,108.0,108.0,108.0,1200.0
1236297600,0.0,0.0,5.8658118162962975e-06,0.0,0.0,119.0,119.0,119.0,400.0
1236384000,0.0,0.0,5.517839928888888e-06,0.0,0.0,111.0,111.0,111.0,0.0
1236470400,0.0,0.0,5.567550198518519e-06,0.0,0.0,115.0,115.0,115.0,1550.0
1236556800,0.0,0.0,5.6172604681481475e-06,0.0,0.0,113.0,113.0,113.0,0.0
1236643200,0.0,0.0,5.219578311111112e-06,0.0,0.0,105.0,105.0,105.0,0.0
1236729600,0.0,0.0,5.368709120000001e-06,0.0,0.0,108.0,108.0,108.0,0.0
1236816000,0.0,0.0,5.8658118162962975e-06,0.0,0.0,119.0,119.0,119.0,150.0
1236902400,0.0,0.0,5.666970737777776e-06,0.0,0.0,115.0,115.0,115.0,750.0
1236988800,0.0,0.0,5.766391277037038e-06,0.0,0.0,116.0,116.0,116.0,0.0
1237075200,0.0,0.0,5.517839928888888e-06,0.0,0.0,111.0,111.0,111.0,0.0
1237161600,0.0,0.0,6.462335051851852e-06,0.0,0.0,131.0,131.0,131.0,2400.0
1237248000,0.0,0.0,5.716681007407408e-06,0.0,0.0,115.0,115.0,115.0,0.0
1237334400,0.0,0.0,5.4681296592592585e-06,0.0,0.0,110.0,110.0,110.0,0.0
1237420800,0.0,0.0,6.064652894814814e-06,0.0,0.0,123.0,124.0,124.0,700.0
1237507200,0.0,0.0,5.8658118162962975e-06,0.0,0.0,119.0,119.0,119.0,600.0
1237593600,0.0,0.0,3.827690761481482e-06,0.0,0.0,77.0,77.0,77.0,0.0
1237680000,0.0,0.0,4.722475614814816e-06,0.0,0.0,96.0,97.0,97.0,550.0
1237766400,0.0,0.0,6.561755591111111e-06,0.0,0.0,132.0,132.0,132.0,0.0
1237852800,0.0,0.0,5.219578311111112e-06,0.0,0.0,105.0,105.0,105.0,0.0
1237939200,0.0,0.0,5.766391277037038e-06,0.0,0.0,116.0,116.0,116.0,0.0
1238025600,0.0,0.0,5.6172604681481475e-06,0.0,0.0,114.0,114.0,114.0,1400.0
1238112000,0.0,0.0,5.4681296592592585e-06,0.0,0.0,110.0,110.0,110.0,0.0
1238198400,0.0,0.0,5.915522085925926e-06,0.0,0.0,120.0,122.0,122.0,1000.0
1238284800,0.0,0.0,5.567550198518519e-06,0.0,0.0,112.0,112.0,112.0,0.0
1238371200,0.0,0.0,6.213783703703704e-06,0.0,0.0,125.0,125.0,125.0,0.0
1238457600,0.0,0.0,5.6172604681481475e-06,0.0,0.0,114.0,114.0,114.0,1600.0
1238544000,0.0,0.0,5.318998850370371e-06,0.0,0.0,107.0,107.0,107.0,0.0
1238630400,0.0,0.0,5.965232355555556e-06,0.0,0.0,120.0,120.0,120.0,0.0
1238716800,0.0,0.0,5.6172604681481475e-06,0.0,0.0,113.0,113.0,113.0,0.0
1238803200,0.0,0.0,5.6172604681481475e-06,0.0,0.0,113.0,113.0,113.0,0.0
1238889600,0.0,0.0,6.412624782222221e-06,0.0,0.0,129.0,129.0,129.0,0.0
1238976000,0.0,0.0,5.716681007407408e-06,0.0,0.0,116.0,117.0,117.0,850.0
1239062400,0.0,0.0,4.921316693333333e-06,0.0,0.0,99.0,99.0,99.0,0.0
1239148800,0.0,0.0,5.1698680414814805e-06,0.0,0.0,104.0,104.0,104.0,0.0
1239235200,0.0,0.0,4.921316693333333e-06,0.0,0.0,99.0,99.0,99.0,0.0
1239321600,0.0,0.0,5.1201577718518525e-06,0.0,0.0,103.0,103.0,103.0,0.0
