1501804800,219.51,226.82,224,220.72,98579.24462275839
1501718400,217.35,227.53,217.92,224,113156.87452226169
1501632000,215.37,228.8,225.73,217.92,149914.8419749315
1501545600,200.82,232.73,200.83,225.73,435740.96008319495
1501459200,190.78,201.98,196.95,200.82,117870.18959965173
1501372800,193.26,209.9,205.89,196.95,105150.12887104883
1501286400,178.03,209.77,190.99,205.9,273012.7828437998
1501200000,189.34,203.95,202.95,190.72,170501.28638394046
1501113600,198.85,205,203.23,202.94,125499.32223404647
1501027200,193.4,209.89,203.78,203.23,212118.5664652376
1500940800,193,226.59,225.97,203.78,367608.6653038843
1500854400,224,229.99,228.27,225.96,74985.12540112795
1500768000,221.2,234.35,230.69,228.31,115026.494328923
1500681600,215.1,237.67,216.58,230.69,179559.84451828248
1500595200,208.5,238,226.23,216.6,289938.1718454896
1500508800,194.74,237,194.74,226.06,616585.0707208174
1500422400,186.01,243.9,227.01,194.74,769786.829200595
1500336000,176.51,249.4,190.87,227.01,871479.857425283
1500249600,153.25,191.5,155.69,190.87,632196.8433743039
1500163200,130.26,172.3,168.22,155.68,609575.3179739059
1500076800,167,198.97,197.23,167.72,261390.37737054424
1499990400,183.12,206.99,205,197.23,213173.03601057414
1499904000,193.07,227,224.01,205,226687.27750421653
1499817600,181,228.88,190.57,224.04,417509.9355160552
1499731200,175.56,216.5,201.65,190.57,529774.0694548395
1499644800,185.39,240.33,238.4,202.86,398041.70357687643
1499558400,236,253.31,246.65,238.81,71495.74660515996
1499472000,231.25,249.5,241.27,246.64,135553.2461374095
1499385600,235.01,266.97,266.01,241.28,179626.37734542417
1499299200,261.59,275,266.27,266.01,86798.16421097732
1499212800,252.67,274.97,269.18,266.27,166163.82262045666
1499126400,265,282.83,276.37,269.2,109581.74518996879
1499040000,273.07,285,285,276.37,126096.98196562452
1498953600,255.7,293.73,263.12,285,191572.30990719187
1498867200,253.23,281.98,280.03,263.12,178935.36344757403
1498780800,270.5,306.5,292.95,280.04,232751.6070429505
1498694400,286.22,322.9,315.32,292.95,204007.41125812626
1498608000,260.11,323.69,287.27,315.32,401371.57267849817
1498521600,211,288.51,252.97,287.23,469297.3514407401
1498435200,206.5,293,278.49,252.99,572314.3998498683
1498348800,251.3,310,304.5,278.49,263539.24893237156
1498262400,295.55,330.7,326.98,304.5,131622.40622570532
1498176000,316.66,332.95,320.02,326.99,77450.68733617973
1498089600,305,336.68,327.36,320.02,149181.5176763793
1498003200,0.1,352,350.94,325.41,441443.3771847048
1497916800,325,365.79,358.71,350.94,209201.56716038787
1497830400,346.88,362.5,351.84,358.71,103080.82531791605
1497744000,340.11,381.66,368.99,351.85,156569.03884936945
1497657600,341.65,369,354.26,368.98,144149.6794316876
1497571200,314,364,343.71,354.26,256310.93905472633
1497484800,253,356.29,341.7,343.71,750547.0873300195
1497398400,315,394.47,388,341.7,373871.1368720506
1497312000,359.75,400,397.36,388,270476.8496773756
1497225600,306.11,420,343.29,397.37,535794.3885575797
1497139200,317.05,355,340.13,343.01,251525.94552899664
1497052800,278.03,358.46,279.39,340.2,424265.29444260336
1496966400,258.63,279.39,258.64,279.38,191150.05975100934
1496880000,250,261,255.61,258.64,137027.2051250929
1496793600,244.98,265.63,264.5,255.68,218451.7317111193
1496707200,247,269.36,247.99,264.22,321257.13754041516
1496620800,241.2,248.98,245.48,248,148011.87141511645
1496534400,224,249.04,224.95,245.5,212985.74100257937
1496448000,218.56,227.5,221.95,224.95,110232.35093059816
1496361600,216.5,229.75,221.84,222.04,166318.69028256627
1496275200,206.02,238.97,229.15,221.91,345615.0610554423
1496188800,215.42,234.76,228.67,229.14,350747.4538194595
1496102400,185,233.09,194.89,228.69,448799.0964840418
1496016000,167,199,175.48,194.82,218954.24000922925
1495929600,159.59,185,159.71,175.48,236048.03860151296
